State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population,Quarter,EV_per_100k_Population,EV_to_Charging_Station_Ratio
Andhra Pradesh,Vijayawada,2019-09-10,2019,9,3W,Battery Electric (BEV),Mahindra Electric,1,9,53000000,3,0.0019,0.11
Andhra Pradesh,Visakhapatnam,2019-09-12,2019,9,Commercial,Battery Electric (BEV),Ashok Leyland,0,14,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2019-09-14,2019,9,Bus,Battery Electric (BEV),Ashok Leyland,0,14,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2019-09-25,2019,9,2W,Battery Electric (BEV),Okinawa Autotech,2,12,53000000,3,0.0038,0.17
Andhra Pradesh,Not Specified,2019-10-06,2019,10,Car,Battery Electric (BEV),Kia,0,17,53000000,4,0.0,0.0
Andhra Pradesh,Guntur,2019-10-10,2019,10,2W,Battery Electric (BEV),Hero Electric,3,33,53000000,4,0.0057,0.09
Andhra Pradesh,Vijayawada,2019-10-14,2019,10,3W,Battery Electric (BEV),Mahindra Electric,1,118,53000000,4,0.0019,0.01
Andhra Pradesh,Vijayawada,2019-10-16,2019,10,Bus,Plug-in Hybrid (PHEV),Tata Motors,0,14,53000000,4,0.0,0.0
Andhra Pradesh,Guntur,2019-11-04,2019,11,3W,Battery Electric (BEV),Mahindra Electric,0,17,53000000,4,0.0,0.0
Andhra Pradesh,Visakhapatnam,2019-11-18,2019,11,Commercial,Battery Electric (BEV),Mahindra Electric,0,4,53000000,4,0.0,0.0
Andhra Pradesh,Visakhapatnam,2019-11-25,2019,11,Bus,Battery Electric (BEV),PMI Electro,0,17,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2019-11-26,2019,11,2W,Battery Electric (BEV),Ola Electric,4,6,53000000,4,0.0075,0.67
Andhra Pradesh,Vijayawada,2019-12-21,2019,12,2W,Battery Electric (BEV),Hero Electric,5,26,53000000,4,0.0094,0.19
Andhra Pradesh,Guntur,2019-12-26,2019,12,Car,Battery Electric (BEV),Kia,0,24,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2020-01-10,2020,1,2W,Battery Electric (BEV),Ather Energy,3,18,53000000,1,0.0057,0.17
Andhra Pradesh,Guntur,2020-02-13,2020,2,2W,Battery Electric (BEV),Hero Electric,2,18,53000000,1,0.0038,0.11
Andhra Pradesh,Visakhapatnam,2020-03-01,2020,3,2W,Battery Electric (BEV),Hero Electric,4,18,53000000,1,0.0075,0.22
Andhra Pradesh,Guntur,2020-03-04,2020,3,3W,Battery Electric (BEV),Bajaj Auto,1,31,53000000,1,0.0019,0.03
Andhra Pradesh,Vijayawada,2020-03-18,2020,3,Bus,Battery Electric (BEV),PMI Electro,0,32,53000000,1,0.0,0.0
Andhra Pradesh,Visakhapatnam,2020-04-26,2020,4,2W,Battery Electric (BEV),Hero Electric,3,30,53000000,2,0.0057,0.1
Andhra Pradesh,Guntur,2020-05-09,2020,5,Car,Battery Electric (BEV),BYD,0,37,53000000,2,0.0,0.0
Andhra Pradesh,Guntur,2020-05-10,2020,5,Commercial,Battery Electric (BEV),Mahindra Electric,0,36,53000000,2,0.0,0.0
Andhra Pradesh,Guntur,2020-05-15,2020,5,2W,Battery Electric (BEV),Hero Electric,3,34,53000000,2,0.0057,0.09
Andhra Pradesh,Vijayawada,2020-05-25,2020,5,3W,Battery Electric (BEV),YC Electric,1,18,53000000,2,0.0019,0.06
Andhra Pradesh,Vijayawada,2020-06-10,2020,6,2W,Battery Electric (BEV),Hero Electric,2,26,53000000,2,0.0038,0.08
Andhra Pradesh,Vijayawada,2020-07-03,2020,7,2W,Battery Electric (BEV),TVS Motor,2,28,53000000,3,0.0038,0.07
Andhra Pradesh,Visakhapatnam,2020-08-12,2020,8,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,0,23,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2020-08-12,2020,8,2W,Battery Electric (BEV),Ather Energy,2,25,53000000,3,0.0038,0.08
Andhra Pradesh,Visakhapatnam,2020-08-15,2020,8,3W,Battery Electric (BEV),Kinetic Green,0,33,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2020-09-08,2020,9,Car,Battery Electric (BEV),BYD,0,30,53000000,3,0.0,0.0
Andhra Pradesh,Visakhapatnam,2020-09-24,2020,9,2W,Battery Electric (BEV),Okinawa Autotech,4,15,53000000,3,0.0075,0.27
Andhra Pradesh,Visakhapatnam,2020-10-17,2020,10,2W,Battery Electric (BEV),Okinawa Autotech,2,20,53000000,4,0.0038,0.1
Andhra Pradesh,Guntur,2020-11-09,2020,11,2W,Battery Electric (BEV),Bajaj Auto,3,33,53000000,4,0.0057,0.09
Andhra Pradesh,Visakhapatnam,2020-12-07,2020,12,2W,Battery Electric (BEV),Ola Electric,4,34,53000000,4,0.0075,0.12
Andhra Pradesh,Guntur,2021-01-04,2021,1,3W,Battery Electric (BEV),Piaggio,1,31,53000000,1,0.0019,0.03
Andhra Pradesh,Guntur,2021-01-26,2021,1,Car,Battery Electric (BEV),Hyundai,2,20,53000000,1,0.0038,0.1
Andhra Pradesh,Visakhapatnam,2021-01-27,2021,1,Bus,Battery Electric (BEV),Ashok Leyland,0,38,53000000,1,0.0,0.0
Andhra Pradesh,Vijayawada,2021-01-27,2021,1,2W,Battery Electric (BEV),Hero Electric,5,37,53000000,1,0.0094,0.14
Andhra Pradesh,Guntur,2021-02-15,2021,2,2W,Battery Electric (BEV),Ola Electric,3,43,53000000,1,0.0057,0.07
Andhra Pradesh,Vijayawada,2021-02-15,2021,2,3W,Battery Electric (BEV),YC Electric,2,20,53000000,1,0.0038,0.1
Andhra Pradesh,Visakhapatnam,2021-02-26,2021,2,Car,Battery Electric (BEV),Hyundai,1,26,53000000,1,0.0019,0.04
Andhra Pradesh,Visakhapatnam,2021-03-04,2021,3,3W,Battery Electric (BEV),Bajaj Auto,1,54,53000000,1,0.0019,0.02
Andhra Pradesh,Not Specified,2021-03-06,2021,3,Car,Battery Electric (BEV),BYD,1,38,53000000,1,0.0019,0.03
Andhra Pradesh,Visakhapatnam,2021-03-22,2021,3,2W,Plug-in Hybrid (PHEV),Hero Electric,7,14,53000000,1,0.0132,0.5
Andhra Pradesh,Vijayawada,2021-04-18,2021,4,Car,Battery Electric (BEV),Kia,1,39,53000000,2,0.0019,0.03
Andhra Pradesh,Guntur,2021-04-21,2021,4,3W,Battery Electric (BEV),Bajaj Auto,1,47,53000000,2,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-04-22,2021,4,2W,Battery Electric (BEV),Okinawa Autotech,6,31,53000000,2,0.0113,0.19
Andhra Pradesh,Visakhapatnam,2021-05-12,2021,5,3W,Battery Electric (BEV),Piaggio,0,17,53000000,2,0.0,0.0
Andhra Pradesh,Vijayawada,2021-05-20,2021,5,Car,Battery Electric (BEV),Hyundai,1,23,53000000,2,0.0019,0.04
Andhra Pradesh,Vijayawada,2021-05-22,2021,5,2W,Battery Electric (BEV),Hero Electric,9,32,53000000,2,0.017,0.28
Andhra Pradesh,Vijayawada,2021-06-19,2021,6,3W,Battery Electric (BEV),YC Electric,1,45,53000000,2,0.0019,0.02
Andhra Pradesh,Visakhapatnam,2021-06-24,2021,6,Car,Plug-in Hybrid (PHEV),Tata Motors,1,44,53000000,2,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-06-24,2021,6,2W,Battery Electric (BEV),TVS Motor,5,44,53000000,2,0.0094,0.11
Andhra Pradesh,Visakhapatnam,2021-07-14,2021,7,3W,Battery Electric (BEV),YC Electric,1,41,53000000,3,0.0019,0.02
Andhra Pradesh,Visakhapatnam,2021-07-17,2021,7,Car,Battery Electric (BEV),Hyundai,1,32,53000000,3,0.0019,0.03
Andhra Pradesh,Vijayawada,2021-07-25,2021,7,2W,Battery Electric (BEV),Ather Energy,6,50,53000000,3,0.0113,0.12
Andhra Pradesh,Vijayawada,2021-08-10,2021,8,3W,Battery Electric (BEV),Bajaj Auto,1,22,53000000,3,0.0019,0.05
Andhra Pradesh,Vijayawada,2021-08-15,2021,8,Car,Battery Electric (BEV),MG Motor,1,43,53000000,3,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-08-24,2021,8,2W,Battery Electric (BEV),Ather Energy,5,46,53000000,3,0.0094,0.11
Andhra Pradesh,Vijayawada,2021-09-01,2021,9,Car,Battery Electric (BEV),Tata Motors,1,14,53000000,3,0.0019,0.07
Andhra Pradesh,Visakhapatnam,2021-09-02,2021,9,Commercial,Battery Electric (BEV),Mahindra Electric,0,55,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2021-09-08,2021,9,2W,Battery Electric (BEV),TVS Motor,5,50,53000000,3,0.0094,0.1
Andhra Pradesh,Vijayawada,2021-10-08,2021,10,Bus,Battery Electric (BEV),Olectra Greentech,0,35,53000000,4,0.0,0.0
Andhra Pradesh,Guntur,2021-10-12,2021,10,2W,Battery Electric (BEV),Hero Electric,4,36,53000000,4,0.0075,0.11
Andhra Pradesh,Visakhapatnam,2021-10-20,2021,10,3W,Battery Electric (BEV),Piaggio,2,17,53000000,4,0.0038,0.12
Andhra Pradesh,Visakhapatnam,2021-10-27,2021,10,Car,Battery Electric (BEV),Tata Motors,1,27,53000000,4,0.0019,0.04
Andhra Pradesh,Vijayawada,2021-11-02,2021,11,2W,Battery Electric (BEV),Hero Electric,6,37,53000000,4,0.0113,0.16
Andhra Pradesh,Guntur,2021-11-27,2021,11,Car,Battery Electric (BEV),Mahindra Electric,1,48,53000000,4,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-12-10,2021,12,Bus,Battery Electric (BEV),Tata Motors,0,35,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2021-12-13,2021,12,3W,Battery Electric (BEV),Mahindra Electric,1,55,53000000,4,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-12-17,2021,12,2W,Battery Electric (BEV),Bajaj Auto,6,51,53000000,4,0.0113,0.12
Andhra Pradesh,Guntur,2021-12-22,2021,12,Car,Battery Electric (BEV),Hyundai,1,48,53000000,4,0.0019,0.02
Andhra Pradesh,Vijayawada,2021-12-26,2021,12,Commercial,Battery Electric (BEV),Mahindra Electric,0,41,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2022-01-05,2022,1,3W,Battery Electric (BEV),Kinetic Green,2,30,53000000,1,0.0038,0.07
Andhra Pradesh,Vijayawada,2022-01-14,2022,1,Car,Battery Electric (BEV),Tata Motors,3,13,53000000,1,0.0057,0.23
Andhra Pradesh,Guntur,2022-01-19,2022,1,Commercial,Battery Electric (BEV),Tata Motors,1,50,53000000,1,0.0019,0.02
Andhra Pradesh,Guntur,2022-01-23,2022,1,2W,Battery Electric (BEV),Hero Electric,10,43,53000000,1,0.0189,0.23
Andhra Pradesh,Not Specified,2022-02-07,2022,2,3W,Battery Electric (BEV),Mahindra Electric,2,43,53000000,1,0.0038,0.05
Andhra Pradesh,Guntur,2022-02-07,2022,2,Commercial,Battery Electric (BEV),Mahindra Electric,1,52,53000000,1,0.0019,0.02
Andhra Pradesh,Visakhapatnam,2022-02-18,2022,2,2W,Battery Electric (BEV),Hero Electric,25,63,53000000,1,0.0472,0.4
Andhra Pradesh,Visakhapatnam,2022-02-25,2022,2,Car,Battery Electric (BEV),Tata Motors,5,25,53000000,1,0.0094,0.2
Andhra Pradesh,Vijayawada,2022-03-01,2022,3,2W,Battery Electric (BEV),Hero Electric,10,29,53000000,1,0.0189,0.34
Andhra Pradesh,Visakhapatnam,2022-03-07,2022,3,Car,Battery Electric (BEV),Tata Motors,4,35,53000000,1,0.0075,0.11
Andhra Pradesh,Visakhapatnam,2022-03-09,2022,3,Commercial,Battery Electric (BEV),Ashok Leyland,2,40,53000000,1,0.0038,0.05
Andhra Pradesh,Visakhapatnam,2022-03-11,2022,3,3W,Battery Electric (BEV),Mahindra Electric,4,38,53000000,1,0.0075,0.11
Andhra Pradesh,Vijayawada,2022-04-04,2022,4,Car,Battery Electric (BEV),Tata Motors,3,67,53000000,2,0.0057,0.04
Andhra Pradesh,Guntur,2022-04-07,2022,4,3W,Battery Electric (BEV),Kinetic Green,2,39,53000000,2,0.0038,0.05
Andhra Pradesh,Vijayawada,2022-04-27,2022,4,2W,Battery Electric (BEV),Okinawa Autotech,12,44,53000000,2,0.0226,0.27
Andhra Pradesh,Visakhapatnam,2022-04-27,2022,4,Commercial,Battery Electric (BEV),Ashok Leyland,1,27,53000000,2,0.0019,0.04
Andhra Pradesh,Guntur,2022-05-01,2022,5,Car,Battery Electric (BEV),Mahindra Electric,4,47,53000000,2,0.0075,0.09
Andhra Pradesh,Not Specified,2022-05-03,2022,5,2W,Battery Electric (BEV),Ather Energy,17,42,53000000,2,0.0321,0.4
Andhra Pradesh,Guntur,2022-05-27,2022,5,Commercial,Battery Electric (BEV),Tata Motors,1,31,53000000,2,0.0019,0.03
Andhra Pradesh,Visakhapatnam,2022-05-27,2022,5,3W,Battery Electric (BEV),Piaggio,3,42,53000000,2,0.0057,0.07
Andhra Pradesh,Visakhapatnam,2022-06-04,2022,6,3W,Battery Electric (BEV),YC Electric,2,43,53000000,2,0.0038,0.05
Andhra Pradesh,Vijayawada,2022-06-10,2022,6,Commercial,Battery Electric (BEV),Tata Motors,1,42,53000000,2,0.0019,0.02
Andhra Pradesh,Guntur,2022-06-13,2022,6,Bus,Battery Electric (BEV),PMI Electro,0,13,53000000,2,0.0,0.0
Andhra Pradesh,Guntur,2022-06-16,2022,6,2W,Battery Electric (BEV),Hero Electric,14,54,53000000,2,0.0264,0.26
Andhra Pradesh,Visakhapatnam,2022-06-20,2022,6,Car,Battery Electric (BEV),Hyundai,2,62,53000000,2,0.0038,0.03
Andhra Pradesh,Vijayawada,2022-07-01,2022,7,2W,Battery Electric (BEV),Okinawa Autotech,11,41,53000000,3,0.0208,0.27
Andhra Pradesh,Visakhapatnam,2022-07-10,2022,7,Bus,Battery Electric (BEV),PMI Electro,0,63,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2022-07-16,2022,7,Commercial,Battery Electric (BEV),Tata Motors,1,75,53000000,3,0.0019,0.01
Andhra Pradesh,Guntur,2022-07-17,2022,7,3W,Battery Electric (BEV),YC Electric,3,69,53000000,3,0.0057,0.04
Andhra Pradesh,Vijayawada,2022-07-27,2022,7,Car,Battery Electric (BEV),MG Motor,3,67,53000000,3,0.0057,0.04
Andhra Pradesh,Guntur,2022-08-01,2022,8,Commercial,Battery Electric (BEV),Eicher Motors,1,53,53000000,3,0.0019,0.02
Andhra Pradesh,Vijayawada,2022-08-06,2022,8,2W,Battery Electric (BEV),TVS Motor,12,71,53000000,3,0.0226,0.17
Andhra Pradesh,Visakhapatnam,2022-08-13,2022,8,Bus,Battery Electric (BEV),PMI Electro,0,63,53000000,3,0.0,0.0
Andhra Pradesh,Visakhapatnam,2022-08-17,2022,8,3W,Battery Electric (BEV),Bajaj Auto,4,56,53000000,3,0.0075,0.07
Andhra Pradesh,Visakhapatnam,2022-08-22,2022,8,Car,Battery Electric (BEV),Kia,3,25,53000000,3,0.0057,0.12
Andhra Pradesh,Vijayawada,2022-09-09,2022,9,Car,Battery Electric (BEV),Tata Motors,2,66,53000000,3,0.0038,0.03
Andhra Pradesh,Vijayawada,2022-09-09,2022,9,2W,Battery Electric (BEV),Bajaj Auto,10,46,53000000,3,0.0189,0.22
Andhra Pradesh,Vijayawada,2022-09-13,2022,9,3W,Battery Electric (BEV),Kinetic Green,3,47,53000000,3,0.0057,0.06
Andhra Pradesh,Visakhapatnam,2022-10-06,2022,10,Car,Battery Electric (BEV),MG Motor,3,26,53000000,4,0.0057,0.12
Andhra Pradesh,Guntur,2022-10-09,2022,10,Commercial,Battery Electric (BEV),Tata Motors,1,49,53000000,4,0.0019,0.02
Andhra Pradesh,Guntur,2022-10-20,2022,10,3W,Battery Electric (BEV),Bajaj Auto,2,32,53000000,4,0.0038,0.06
Andhra Pradesh,Vijayawada,2022-10-24,2022,10,2W,Battery Electric (BEV),Bajaj Auto,13,47,53000000,4,0.0245,0.28
Andhra Pradesh,Vijayawada,2022-11-04,2022,11,3W,Battery Electric (BEV),Piaggio,2,33,53000000,4,0.0038,0.06
Andhra Pradesh,Visakhapatnam,2022-11-10,2022,11,Car,Battery Electric (BEV),Mahindra Electric,1,24,53000000,4,0.0019,0.04
Andhra Pradesh,Vijayawada,2022-11-15,2022,11,Bus,Battery Electric (BEV),PMI Electro,0,23,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2022-11-17,2022,11,2W,Battery Electric (BEV),Ather Energy,9,55,53000000,4,0.017,0.16
Andhra Pradesh,Visakhapatnam,2022-12-06,2022,12,Commercial,Battery Electric (BEV),Tata Motors,1,33,53000000,4,0.0019,0.03
Andhra Pradesh,Vijayawada,2022-12-07,2022,12,2W,Battery Electric (BEV),Bajaj Auto,14,60,53000000,4,0.0264,0.23
Andhra Pradesh,Vijayawada,2022-12-08,2022,12,Car,Battery Electric (BEV),Kia,3,39,53000000,4,0.0057,0.08
Andhra Pradesh,Vijayawada,2022-12-12,2022,12,3W,Plug-in Hybrid (PHEV),Bajaj Auto,3,71,53000000,4,0.0057,0.04
Andhra Pradesh,Vijayawada,2023-01-01,2023,1,Commercial,Battery Electric (BEV),Mahindra Electric,4,71,53000000,1,0.0075,0.06
Andhra Pradesh,Not Specified,2023-01-13,2023,1,3W,Battery Electric (BEV),Kinetic Green,3,54,53000000,1,0.0057,0.06
Andhra Pradesh,Vijayawada,2023-01-14,2023,1,Car,Plug-in Hybrid (PHEV),Kia,4,81,53000000,1,0.0075,0.05
Andhra Pradesh,Vijayawada,2023-01-25,2023,1,2W,Battery Electric (BEV),Okinawa Autotech,24,65,53000000,1,0.0453,0.37
Andhra Pradesh,Guntur,2023-02-01,2023,2,Car,Battery Electric (BEV),Tata Motors,5,84,53000000,1,0.0094,0.06
Andhra Pradesh,Guntur,2023-02-03,2023,2,2W,Battery Electric (BEV),Okinawa Autotech,19,33,53000000,1,0.0358,0.58
Andhra Pradesh,Guntur,2023-02-19,2023,2,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,1,39,53000000,1,0.0019,0.03
Andhra Pradesh,Visakhapatnam,2023-02-20,2023,2,Commercial,Battery Electric (BEV),Mahindra Electric,2,60,53000000,1,0.0038,0.03
Andhra Pradesh,Vijayawada,2023-02-22,2023,2,3W,Battery Electric (BEV),Kinetic Green,7,39,53000000,1,0.0132,0.18
Andhra Pradesh,Visakhapatnam,2023-03-03,2023,3,Car,Battery Electric (BEV),MG Motor,4,61,53000000,1,0.0075,0.07
Andhra Pradesh,Guntur,2023-03-05,2023,3,Commercial,Battery Electric (BEV),Ashok Leyland,2,64,53000000,1,0.0038,0.03
Andhra Pradesh,Visakhapatnam,2023-03-07,2023,3,2W,Battery Electric (BEV),Bajaj Auto,25,45,53000000,1,0.0472,0.56
Andhra Pradesh,Vijayawada,2023-03-10,2023,3,3W,Battery Electric (BEV),Piaggio,3,36,53000000,1,0.0057,0.08
Andhra Pradesh,Vijayawada,2023-03-26,2023,3,Bus,Plug-in Hybrid (PHEV),Tata Motors,1,54,53000000,1,0.0019,0.02
Andhra Pradesh,Visakhapatnam,2023-04-02,2023,4,Car,Battery Electric (BEV),Tata Motors,5,39,53000000,2,0.0094,0.13
Andhra Pradesh,Vijayawada,2023-04-09,2023,4,2W,Battery Electric (BEV),Bajaj Auto,34,30,53000000,2,0.0642,1.13
Andhra Pradesh,Visakhapatnam,2023-04-18,2023,4,Bus,Battery Electric (BEV),PMI Electro,1,33,53000000,2,0.0019,0.03
Andhra Pradesh,Visakhapatnam,2023-04-24,2023,4,Commercial,Battery Electric (BEV),Tata Motors,2,34,53000000,2,0.0038,0.06
Andhra Pradesh,Guntur,2023-04-25,2023,4,3W,Battery Electric (BEV),YC Electric,4,43,53000000,2,0.0075,0.09
Andhra Pradesh,Vijayawada,2023-05-08,2023,5,2W,Battery Electric (BEV),Ather Energy,17,83,53000000,2,0.0321,0.2
Andhra Pradesh,Vijayawada,2023-05-17,2023,5,Car,Battery Electric (BEV),MG Motor,3,42,53000000,2,0.0057,0.07
