State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
Maharashtra,Nashik,2024-01-22,2024,1,Commercial,Battery Electric (BEV),Mahindra Electric,11,129.0,123000000
Madhya Pradesh,Gwalior,2023-06-10,2023,6,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,4,86.0,85000000
West Bengal,Kolkata,2018-01-27,2018,1,Car,Battery Electric (BEV),BYD,1,16.0,99000000
Jharkhand,Jamshedpur,2019-06-08,2019,6,2W,Battery Electric (BEV),TVS Motor,1,0.0,39000000
Telangana,Warangal,2020-02-09,2020,2,2W,Battery Electric (BEV),Okinawa Autotech,4,59.0,39000000
West Bengal,Howrah,2020-05-02,2020,5,2W,Battery Electric (BEV),Okinawa Autotech,5,20.0,99000000
Telangana,Nizamabad,2025-02-09,2025,2,Bus,Battery Electric (BEV),PMI Electro,2,123.0,39000000
Haryana,Faridabad,2022-10-18,2022,10,Car,Battery Electric (BEV),Tata Motors,1,63.0,30000000
Uttarakhand,Haridwar,2024-03-18,2024,3,3W,Battery Electric (BEV),Bajaj Auto,0,12.0,11000000
Bihar,Gaya,2025-06-06,2025,6,Commercial,Battery Electric (BEV),Ashok Leyland,3,26.0,128000000
Karnataka,Bengaluru Urban,2024-07-23,2024,7,Bus,Battery Electric (BEV),Olectra Greentech,2,94.0,67000000
Uttar Pradesh,Ghaziabad,2024-12-03,2024,12,Car,Battery Electric (BEV),Tata Motors,45,159.0,231000000
Himachal Pradesh,Kangra,2019-08-21,2019,8,2W,Battery Electric (BEV),Hero Electric,0,6.0,7500000
Karnataka,Hubli,2025-03-17,2025,3,Bus,Battery Electric (BEV),Olectra Greentech,4,98.0,67000000
Odisha,Bhubaneswar,2021-11-21,2021,11,Commercial,Battery Electric (BEV),Ashok Leyland,0,16.0,46000000
Karnataka,Mangaluru,2018-08-19,2018,8,Commercial,Battery Electric (BEV),Ashok Leyland,0,17.0,67000000
Assam,Dibrugarh,2024-08-27,2024,8,Car,Battery Electric (BEV),BYD,2,39.0,35000000
Jammu and Kashmir,Srinagar,2022-08-08,2022,8,Commercial,Battery Electric (BEV),Ashok Leyland,0,14.0,13000000
Chhattisgarh,Raipur,2022-09-17,2022,9,3W,Battery Electric (BEV),Bajaj Auto,1,40.0,30000000
Delhi,South Delhi,2025-05-26,2025,5,Bus,Battery Electric (BEV),Tata Motors,1,109.0,32000000
Tamil Nadu,Chennai,2025-06-20,2025,6,Bus,Battery Electric (BEV),Tata Motors,4,111.0,77000000
Chhattisgarh,Raipur,2020-09-02,2020,9,2W,Battery Electric (BEV),Okinawa Autotech,0 ,27.0,30000000
Punjab,Ludhiana,2021-03-02,2021,3,2W,Battery Electric (BEV),Bajaj Auto,4,33.0,30000000
West Bengal,Siliguri,2022-11-07,2022,11,Commercial,Battery Electric (BEV),Ashok Leyland,2,54.0,99000000
West Bengal,Siliguri,2019-06-10,2019,6,2W,Battery Electric (BEV),Ather Energy,12,10.0,99000000
Maharashtra,Pune,2023-06-15,2023,6,Car,Battery Electric (BEV),Kia,18,59.0,123000000
Chhattisgarh,Raipur,2024-01-15,2024,1,Car,Battery Electric (BEV),Kia,2,31.0,30000000
Madhya Pradesh,Gwalior,2021-02-02,2021,2,Commercial,Battery Electric (BEV),Tata Motors,1,33.0,85000000
Haryana,Panipat,2024-05-16,2024,5,3W,Battery Electric (BEV),Piaggio,3,47.0,30000000
Chandigarh,,2022-01-06,2022,1,2W,,,0,,1200000
Himachal Pradesh,Kangra,2021-06-22,2021,6,Car,Battery Electric (BEV),Kia,0,23.0,7500000
Goa,South Goa,2024-03-21,2024,3,Bus,Battery Electric (BEV),Olectra Greentech,0,43.0,1600000
Madhya Pradesh,Jabalpur,2018-01-15,2018,1,Commercial,Battery Electric (BEV),Eicher Motors,0,10.0,85000000
Chandigarh,Chandigarh,2021-10-10,2021,10,Car,Battery Electric (BEV),Tata Motors,0,6.0,1200000
West Bengal,Howrah,2025-03-06,2025,3,3W,Battery Electric (BEV),Piaggio,20,77.0,99000000
Bihar,Bhagalpur,2021-03-03,2021,3,2W,Battery Electric (BEV),Hero Electric,11,17.0,128000000
Bihar,Bhagalpur,2021-10-02,2021,10,3W,Battery Electric (BEV),Kinetic Green,2,28.0,128000000
Rajasthan,Kota,2020-08-18,2020,8,Car,Battery Electric (BEV),Tata Motors,1,21.0,81000000
Punjab,Amritsar,2020-02-14,2020,2,2W,Battery Electric (BEV),Okinawa Autotech,2,15.0,30000000
Karnataka,Hubli,2022-07-06,2022,7,2W,Battery Electric (BEV),Hero Electric,33,55.0,67000000
Gujarat,Vadodara,2021-07-16,2021,7,2W,Battery Electric (BEV),Ather Energy,14,73.0,71000000
Punjab,Ludhiana,2024-01-02,2024,1,Car,Plug-in Hybrid (PHEV),BYD,4,99.0,30000000
Goa,South Goa,2021-06-21,2021,6,3W,Battery Electric (BEV),YC Electric,0,13.0,1600000
Assam,Guwahati,2024-10-17,2024,10,2W,Battery Electric (BEV),TVS Motor,10,45.0,35000000
Delhi,New Delhi,2023-07-07,2023,7,Commercial,Battery Electric (BEV),Tata Motors,2,109.0,32000000
Assam,Guwahati,2023-02-27,2023,2,2W,Battery Electric (BEV),TVS Motor,11,43.0,35000000
Goa,,2024-06-19,2024,6,Car,,,0,,1600000
Tamil Nadu,Coimbatore,2019-01-16,2019,1,Commercial,Battery Electric (BEV),Mahindra Electric,1,7.0,77000000
Tamil Nadu,Salem,2020-09-23,2020,9,2W,Plug-in Hybrid (PHEV),TVS Motor,6,30.0,77000000
Uttar Pradesh,Ghaziabad,2020-03-19,2020,3,3W,Battery Electric (BEV),Piaggio,8,49.0,231000000
Karnataka,Hubli,2022-12-27,2022,12,Car,Battery Electric (BEV),MG Motor,5,83.0,67000000
Madhya Pradesh,Gwalior,2024-07-04,2024,7,Commercial,Battery Electric (BEV),Tata Motors,4,73.0,85000000
Telangana,Warangal,2025-04-01,2025,4,2W,Battery Electric (BEV),Hero Electric,65,147.0,39000000
Goa,South Goa,2022-12-05,2022,12,2W,Battery Electric (BEV),Okinawa Autotech,0 ,28.0,1600000
Gujarat,Rajkot,2021-12-15,2021,12,2W,Battery Electric (BEV),TVS Motor,16,67.0,71000000
Punjab,Ludhiana,2024-06-14,2024,6,Commercial,Battery Electric (BEV),Eicher Motors,2,92.0,30000000
Chhattisgarh,Bilaspur,2022-11-11,2022,11,Car,Plug-in Hybrid (PHEV),BYD,0,26.0,30000000
Chhattisgarh,Bhilai,2023-10-07,2023,10,2W,Battery Electric (BEV),Ather Energy,3,15.0,30000000
Andhra Pradesh,Visakhapatnam,2022-03-07,2022,3,Car,Battery Electric (BEV),Tata Motors,4,35.0,53000000
Haryana,,2023-03-17,2023,3,3W,,,2,,30000000
Telangana,Hyderabad,2022-07-17,2022,7,2W,Battery Electric (BEV),Bajaj Auto,21,101.0,39000000
Tamil Nadu,Coimbatore,2023-12-04,2023,12,Commercial,Battery Electric (BEV),Ashok Leyland,5,132.0,77000000
Uttar Pradesh,Varanasi,2023-10-08,2023,10,Car,Plug-in Hybrid (PHEV),Tata Motors,37,65.0,231000000
Andhra Pradesh,Vijayawada,2024-06-02,2024,6,3W,Battery Electric (BEV),Piaggio,6,44.0,53000000
Haryana,Panipat,2023-04-07,2023,4,Car,Battery Electric (BEV),Kia,3,37.0,30000000
Delhi,North Delhi,2020-03-21,2020,3,2W,Plug-in Hybrid (PHEV),Hero Electric,3,73.0,32000000
Kerala,Ernakulam,2023-01-15,2023,1,Bus,Battery Electric (BEV),Olectra Greentech,0,55.0,35000000
Chhattisgarh,Bhilai,2022-03-11,2022,3,2W,Plug-in Hybrid (PHEV),Bajaj Auto,2,14.0,30000000
Karnataka,Hubli,2020-06-20,2020,6,3W,Battery Electric (BEV),Bajaj Auto,2,37.0,67000000
Madhya Pradesh,Bhopal,2022-06-04,2022,6,Car,Battery Electric (BEV),MG Motor,5,40.0,85000000
Karnataka,Bengaluru Urban,2024-05-02,2024,5,Commercial,Battery Electric (BEV),Mahindra Electric,4,111.0,67000000
Odisha,,2025-03-19,2025,3,Car,,,4 ,,46000000
Himachal Pradesh,Kangra,2023-12-06,2023,12,2W,Battery Electric (BEV),Ather Energy,1,39.0,7500000
Gujarat,Surat,2020-08-06,2020,8,Bus,Battery Electric (BEV),Ashok Leyland,0,29.0,71000000
Karnataka,Mangaluru,2022-05-01,2022,5,2W,Plug-in Hybrid (PHEV),Hero Electric,38,40.0,67000000
Telangana,Warangal,2024-09-12,2024,9,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,32,132.0,39000000
West Bengal,Durgapur,2025-02-03,2025,2,Bus,Battery Electric (BEV),Ashok Leyland,3,104.0,99000000
Haryana,Gurugram,2020-06-14,2020,6,Commercial,Battery Electric (BEV),Mahindra Electric,0,31.0,30000000
Delhi,North Delhi,2022-11-12,2022,11,Car,Battery Electric (BEV),Mahindra Electric,2,87.0,32000000
Kerala,Thiruvananthapuram,2021-10-02,2021,10,2W,Battery Electric (BEV),Okinawa Autotech,4,40.0,35000000
Rajasthan,Kota,2021-08-22,2021,8,Car,Battery Electric (BEV),Tata Motors,2,34.0,81000000
Madhya Pradesh,Bhopal,2024-01-07,2024,1,Car,Battery Electric (BEV),Tata Motors,12,93.0,85000000
Kerala,Kozhikode,2024-04-22,2024,4,Bus,Battery Electric (BEV),Tata Motors,1,92.0,35000000
Uttarakhand,Dehradun,2020-04-12,2020,4,2W,Battery Electric (BEV),Okinawa Autotech,0,16.0,11000000
Punjab,,2020-10-09,2020,10,2W,,,1,,30000000
Telangana,Hyderabad,2019-12-12,2019,12,Car,Battery Electric (BEV),Mahindra Electric,1,17.0,39000000
West Bengal,Kolkata,2020-06-12,2020,6,2W,Battery Electric (BEV),Ather Energy,8,38.0,99000000
Goa,South Goa,2022-03-02,2022,3,2W,Battery Electric (BEV),Ola Electric,0,20.0,1600000
Assam,Dibrugarh,2025-05-03,2025,5,Commercial,Battery Electric (BEV),Ashok Leyland,1,22.0,35000000
Telangana,Nizamabad,2025-02-01,2025,2,Commercial,Battery Electric (BEV),Mahindra Electric,5,121.0,39000000
Gujarat,Rajkot,2019-11-17,2019,11,Commercial,Battery Electric (BEV),Mahindra Electric,0,42.0,71000000
Uttar Pradesh,Varanasi,2020-10-20,2020,10,Commercial,Battery Electric (BEV),Eicher Motors,2,27.0,231000000
Jammu and Kashmir,Srinagar,2018-10-17,2018,10,Commercial,Battery Electric (BEV),Eicher Motors,0,11.0,13000000
Tamil Nadu,Chennai,2024-08-15,2024,8,Car,Battery Electric (BEV),Hyundai,17,113.0,77000000
Madhya Pradesh,Gwalior,2019-03-16,2019,3,3W,Battery Electric (BEV),YC Electric,1,17.0,85000000
Punjab,Ludhiana,2023-08-09,2023,8,Car,Battery Electric (BEV),BYD,2,85.0,30000000
Bihar,Patna,2018-12-07,2018,12,Commercial,Battery Electric (BEV),Eicher Motors,0,1.0,128000000
Chhattisgarh,Raipur,2025-03-03,2025,3,3W,Battery Electric (BEV),Piaggio,3,37.0,30000000
Delhi,East Delhi,2023-12-14,2023,12,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,33,45.0,32000000
Rajasthan,Udaipur,2025-01-13,2025,1,Car,Battery Electric (BEV),Hyundai,14,49.0,81000000
Tamil Nadu,Madurai,2024-07-13,2024,7,3W,Battery Electric (BEV),Kinetic Green,23,85.0,77000000
Maharashtra,Nashik,2023-05-14,2023,5,Car,Plug-in Hybrid (PHEV),Kia,16,131.0,123000000
Karnataka,Hubli,2024-07-09,2024,7,2W,Battery Electric (BEV),Okinawa Autotech,67,106.0,67000000
Kerala,Kozhikode,2024-10-20,2024,10,Bus,Battery Electric (BEV),Tata Motors,0,69.0,35000000
Tamil Nadu,Chennai,2019-11-22,2019,11,2W,Battery Electric (BEV),TVS Motor,9,21.0,77000000
Goa,South Goa,2024-04-04,2024,4,3W,Battery Electric (BEV),Mahindra Electric,0,48.0,1600000
Maharashtra,Pune,2024-04-14,2024,4,Car,Battery Electric (BEV),BYD,42,153.0,123000000
Uttar Pradesh,Kanpur,2025-01-12,2025,1,Bus,Battery Electric (BEV),Tata Motors,8,153.0,231000000
Karnataka,Mangaluru,2024-04-16,2024,4,3W,Plug-in Hybrid (PHEV),YC Electric,14,74.0,67000000
Tamil Nadu,Salem,2024-09-02,2024,9,Car,Battery Electric (BEV),Kia,24,150.0,77000000
Chhattisgarh,Bilaspur,2019-01-23,2019,1,3W,Battery Electric (BEV),Piaggio,0,9.0,30000000
Delhi,South Delhi,2024-04-25,2024,4,Commercial,Battery Electric (BEV),Eicher Motors,3,116.0,32000000
Telangana,Warangal,2022-01-11,2022,1,Car,Battery Electric (BEV),Tata Motors,3 ,99.0,39000000
Jharkhand,Jamshedpur,2023-02-02,2023,2,Car,Battery Electric (BEV),Mahindra Electric,1,25.0,39000000
Gujarat,Rajkot,2020-10-17,2020,10,2W,Battery Electric (BEV),Hero Electric,7,42.0,71000000
Uttar Pradesh,Noida,2019-07-10,2019,7,Bus,Battery Electric (BEV),Tata Motors,1,16.0,231000000
Rajasthan,Udaipur,2025-02-08,2025,2,Bus,Battery Electric (BEV),Ashok Leyland,2,49.0,81000000
Assam,Dibrugarh,2021-10-20,2021,10,3W,Plug-in Hybrid (PHEV),Piaggio,0,19.0,35000000
Uttarakhand,Dehradun,2023-06-16,2023,6,2W,Battery Electric (BEV),TVS Motor,2,34.0,11000000
West Bengal,Durgapur,2020-05-25,2020,5,Car,Battery Electric (BEV),Tata Motors,1,27.0,99000000
Himachal Pradesh,Shimla,2019-10-19,2019,10,Bus,Battery Electric (BEV),PMI Electro,0,6.0,7500000
Odisha,Cuttack,2024-05-01,2024,5,2W,Battery Electric (BEV),Ather Energy,20,33.0,46000000
Maharashtra,Thane,2024-09-22,2024,9,Bus,Battery Electric (BEV),Olectra Greentech,5,134.0,123000000
Uttarakhand,Haridwar,2021-05-27,2021,5,3W,Battery Electric (BEV),Piaggio,0,11.0,11000000
Assam,Guwahati,2024-09-02,2024,9,Commercial,Battery Electric (BEV),Ashok Leyland,0,19.0,35000000
Rajasthan,Udaipur,2020-07-06,2020,7,3W,Battery Electric (BEV),Mahindra Electric,0,36.0,81000000
Tamil Nadu,Salem,2020-09-09,2020,9,Commercial,Battery Electric (BEV),Tata Motors,1,72.0,77000000
West Bengal,Kolkata,2024-10-24,2024,10,3W,Battery Electric (BEV),Piaggio,12,54.0,99000000
Haryana,Panipat,2025-03-15,2025,3,Bus,Battery Electric (BEV),Tata Motors,0,36.0,30000000
Assam,Silchar,2024-08-19,2024,8,2W,Battery Electric (BEV),Ather Energy,12,28.0,35000000
Kerala,Ernakulam,2025-06-11,2025,6,3W,Battery Electric (BEV),Mahindra Electric,4,104.0,35000000
Madhya Pradesh,Jabalpur,2020-12-19,2020,12,3W,Battery Electric (BEV),YC Electric,1,18.0,85000000
Jharkhand,Jamshedpur,2020-11-09,2020,11,3W,Battery Electric (BEV),YC Electric,0,11.0,39000000
Tamil Nadu,Salem,2021-12-19,2021,12,Commercial,Battery Electric (BEV),Ashok Leyland,2,36.0,77000000
Tamil Nadu,Madurai,2019-08-10,2019,8,3W,Battery Electric (BEV),Bajaj Auto,1,19.0,77000000
Goa,South Goa,2024-08-25,2024,8,2W,Battery Electric (BEV),Hero Electric,0,37.0,1600000
Jharkhand,Jamshedpur,2020-05-02,2020,5,2W,Battery Electric (BEV),Okinawa Autotech,1,23.0,39000000
TamilNadu,Salem,2023-04-19,2023,4,Bus,Battery Electric (BEV),Tata Motors,3,89.0,77000000
Uttarakhand,Dehradun,2022-03-12,2022,3,2W,Plug-in Hybrid (PHEV),Ola Electric,1,17.0,11000000
Maharashtra,Nagpur,2019-08-19,2019,8,2W,Battery Electric (BEV),TVS Motor,23,25.0,123000000
Tamil Nadu,Coimbatore,2025-03-21,2025,3,Car,Battery Electric (BEV),Kia,18,139.0,77000000
Gujarat,Vadodara,2019-02-22,2019,2,Commercial,Battery Electric (BEV),Mahindra Electric,1,38.0,71000000
Telangana,Hyderabad,2025-03-21,2025,3,2W,Battery Electric (BEV),Ather Energy,29,190.0,39000000
Chhattisgarh,Raipur,2025-05-08,2025,5,Car,Battery Electric (BEV),BYD,3,25.0,30000000
